text,label_Salafi jihadi,label_Salafi taklidi,label_Irrelevant
"""ISWAP attacked Nigerian army positions in Monguno, Borno State early this morning, on the way to reinforce the camp, Colonel I.A. Muhammad was ambushed by ISWAP and killed along with four other soldiers, yet another high ranking officer falls to insurgent bullets in the northeast.""",3.1808242e-05,4.2139773e-06,0.999964
"""Imam Al-Khalll      said in his book At-Tarrajjul (Being a True Man), from his encompassing work Al-Jmi, about Imam Ahmad     :

Ysuf ibn Ms al-Qan informed me that Ab Abd Allh (Imam Ahmad) was asked: Does a man let his hair grow? He said: Yes, if he is able to do so.

Muammad ibn Ab Hrn informed me that Isq related to them that Ab Abd Allh was asked about a man growing his hair. He said: It is a good sunnah  if it were possible for me, I would have done it.

Grow your hair out if youre able inshaAllah, and dont listen to feminine Madkhalis. They cant find anything of substance to critique, so they critique someones long hair. What a bunch of morons.""",4.6964156e-05,0.9999404,1.2658736e-05
"""Shaykh Al Islam, the Imam of the Imams, Ibn Khuzaymah Al-Shfii Al-Wahhbiyy (d. 311 AH) said about the quoted Mushrik fellow and his Jahmi cult:

Whoever does not affirm that Allah the Mighty and Majestic has Rose above His Throne above His seven heavens  he is a disbeliever in his Lord, his blood is lawful. He is to be called to repent; if he repents, well and good, otherwise his neck is to be struck, and he is to be thrown onto some of the rubbish heaps so that neither the Muslims nor the dhimms are harmed by the putrid stench of his corpse. And his wealth becomes fay  no Muslim inherits from him, for a Muslim does not inherit from a disbeliever, as the Prophet  said: A Muslim does not inherit from a disbeliever, nor a disbeliever from a Muslim.""",0.999084,0.0008941376,2.1920312e-05
"""Every Muslim who is being slandered by the hypocrites/disbelievers should be defended without a doubt, or offered a word of support at a minimum (even if they dont need it). This is the bare minimum rights that any of the Mashayikh, Mujahideen, or the laymen Muslims have upon their Muslim brothers.

That being said, do not be of those who voluntarily bring heartache or sadness to Muslims, by sharing with them slander against them, that they might otherwise be ignorant of occurring. Even the Prophet     was hurt by the slander/Kufr of Quraysh, Allah   Says:

      

Imam Ibn Jarir At-Tabari   comments on this Ayah and said:

The Exalted says  in His mention  to His Prophet Muhammad : And indeed We know, O Muhammad, that your chest is constricted by what these polytheists of your people say  by their denial of you, their mockery of you, and their mockery of what you have brought to them.

Its also mentioned by Ibn Abee ad-Dunya in his Al-Ishraf:

tim ibn Yay narrated to us, saying: I heard Muammad ibn Yay al-Marwaz say: A man said to Wahb ibn Munabbih, So-and-so has insulted you. He replied: Could the devil find no messenger other than you?

And these are widely cited although I couldnt find a Sanad for them, although due to its meaning, it is worthy of mentioning as a reminder for us all, InshaAllah:

Its said that a man came to a wise man and said: So-and-so has insulted you. He replied: He shot an arrow at me and it did not reach me  so why did you carry the arrow and lodge it in my heart?

And its said that a man came to al-Shfi  may Allah have mercy on him  and said: So-and-so speaks ill of you. He replied: If you are telling the truth, then you are a tale-carrier (Nammm); and if you are lying, then you are a transgressor. So the man was ashamed and left.

Defend your brothers in Islam, without hesitation, but be weary not fall into the trap of Nameemah unintentionally, lest you hurt your brother(s) unintentionally. If anything, if someone gets slandered often, be the bearer of good and positive news instead. Work to spread their Dawah, and make it widespread. Share with them the messages of support that flood social media during the slander, instead of the slander itself. 

Theres a wonderful website  thats been assembled, Allahumma Brek. Every time someone slanders the Shaykh, share this website. Let the hypocrites die in their rage.""",0.99977857,8.131273e-05,0.00014015136
"""1) The referenced tweet is in the context of Gaza being slaughtered by the apes and swines. In response to this Zindiqs scholars dishing out satanic fatwas that no one is allowed to help them physically without the rulers permission. Open up a book of Fiqh and read about   you Zindq. Already exposed the ignorance of these Zanadiqa here: 

2) Again, hes talking about the Jihad of the Palestinians against Israel, and you bring statements of Al-Hafidh Ibn Hajar about the Qadiyyah, to try and prove hes inciting against the ruler. So youre implying Israel is the ruler who is to be obeyed and not rebelled against, nor spoken against, nor incited against? Great refutation and self expos of you being a now out of the closet Zionist. Lol

3) You Zanadiqa MBS/MBZ worshippers cant tell the difference between an actual sinful Muslim ruler and a Taghut whom Allah conditions our Islam with Hating and Rejecting, and in turn apply the rights of the former on the latter.

4) You Zanadiqa have yet to bring a single incident from the Salaf, of your applied understanding. Bring a SINGLE instance, where a Muslim ruler (let alone a Kafir like we have nowadays), was criticized for open Fisq he was committing, whether in front of his face, or behind his back, and the Salaf called the one who criticizing him a Khariji. Ill wait, and this is an open challenge. Unless youre implying Islam was missing this crucial applied understanding for 1400+ years, until spubs came along in junction with Prevent (UK Gov agency) to show us the way of the salaf. Lol

5) Ive brought multiple instances of Salaf criticizing to the rulers face, behind the rulers back, and even making Takfir of rulers behind their back here: 

6) Not a single one of you minions has brought forth his statements in their appropriate context (ever), and refuted it academically. You just rely on others being as incompetent as you.

7) This is all coming from an Abu Khadeejah fanboy mind you, who is viewed as a scholar according to these morons. A guy whom my 4 year old   can recite better Quran than. 

The Jahmis and Madkhalis are in a close race to win out, who is the most intellectually brain dead group ascribing itself to Islam. The new age Madkhalis are making a strong case to be honest.""",0.025157712,0.0005992667,0.974243
"""If I understand correctly, ships seeking safe passage through the Strait of Hormuz are required to make payments to Iranian entities that are either formally sanctioned or additionally designated as terrorist organizations by the US and EU. 
In other words, it all comes down to a simple, binary choice: either maximum pressure on Iran together with maximum pressure on the global energy market, or sanctions relief on Iran as a condition for relief of the global energy crisis.
That is the scale of the astounding US-Israeli victory in their latest war. 
More brilliant achievements to come.""",9.004582e-06,4.3659784e-06,0.9999865
"""Having Pride in Teachings of Islam 

Shaykh Ahmad Musa Jibril",0.33020264,0.6274189,0.042378493
"""This moronic kid doesnt realize that the stupid kid who makes Takfir of Shaykh Al Islam Ibn Taymiyyah, did so because he shares the same understanding of Ibn Taymiyyah as this moronic Madkhali. Both believe that Ibn Taymiyyah gives excuse of ignorance in the label of a Mushrik, and thats factually not the case, and Ive proven that multiple times in my videos. Shaykh Al Islam is explicit that the label of Mushrik is given even before Rislah, which is even more unaware of a state, than an ignorant person whos heard the Quran.

Whether ignorance is a valid excuse not to apply the Hukm of Takfir, is an Ikhtilaf the Scholars do have. Takfir as a term is a Hukm Sharii, hence you see Udhr bil Jahl being discussed with respect to it.

Both of the aforementioned morons have the same understanding in reality, however one due to his idiocy and Ghulu led him down an extreme path, and one due to his idiocy and Irja led him on an opposite and equally extreme path. 

Both are gateways to Zandaqa, and we ask Allah for Salamah.""",0.00023339904,0.0009012823,0.99886537
"""Ive said this multiple times in private to brothers, and probably publicly at some point: People who are 3-minutes into the Deen and Manhaj, should not be platformed in anyway to speak about the Deen. If someone is known to flip flop their positions, on top of being very new, then theyre even worse. 

If they continue to do so publicly, after being advised to shut their mouth, sit down, and learn the foundations of Islam and its branches, then they should be publicly shunned and not associated with publicly. 

These morons who are 3-minutes into the Deen who cant even pronounce Kafir properly are making Takfir of giants,  , all because they have the reading comprehension of a Madkhali. 

If theyre not feds already, then they are on the edge of Zandaqa due to such blatant Ghulu. Dont be surprised when these morons evolve to Takfir the likes of Imam Ahmad, and we seek refuge in Allah from such Zandaqa.""",5.1569396e-06,8.411864e-06,0.9999864
"""Why the Hanafs consider the opening takbr a condition of the prayer as opposed to the majority who consider it a pillar?

Gems of Fiqh, from Shaykh Abdul Karm al-Khudayrs dars on the Description of the Prophets Prayer.",4.092578e-05,0.99544406,0.004514973
"""How the Najdi scholars refuted the extremists

In the name of Allah, the Most Merciful, the Bestower of Mercy.

From: Abd al-Laf ibn Abd al-Ramn ibn asan
To: Abd al-Azz al-Khab

Peace be upon those who follow guidance, and upon the righteous servants of Allah.

To proceed:

I have read your letter and understood its contents, and what you intended by way of apology. However, you erred in your statement that what our shaykh, the father, denounced, namely your declaring the people of truth to be disbelievers, and your belief that you are correct, when you denied it.

You mentioned that your brothers from al-Naq are disputing with you and are arguing with you concerning us, and that they say that we have been silent regarding certain matters. And you know that they often mention this to attack our creed and to criticize our methodology. Even if they do not explicitly make Takfeer, they have approached its borders. So we seek refuge in Allah from misguidance after being upon guidance, from deviating away from the path of rectitude, and from blindness.

I witnessed, in the year 64, two men resembling you who were among the renegades in al-As. They abandoned the Friday prayer and the congregational prayer, and declared the Muslims of that land to be disbelievers. Their argument was similar to yours. They said: The people of al-As sit with Ibn Fayrz and mix with him and others like him, those who did not reject the ght by disbelieving in it, nor explicitly declare his grandfather to be a disbeliever who rejected the call of Shaykh Muammad, and did not accept it, and instead opposed it.

They both said: Whoever does not explicitly declare him to be a disbeliever is himself a disbeliever in Allah and has not rejected the ght by disbelieving in it. And whoever sits with him is like him. And upon these two false and misguided premises, they built rulings implying clear apostasy, such that they even abandoned returning greetings of Salam.

Their matter was raised to me, so I summoned them, threatened them, and spoke harshly to them. At first, they claimed that they were upon the creed of Shaykh Muammad ibn Abd al-Wahhb, and that his letters were with them. So I clarified their errors and refuted their misconceptions with what I had in that gathering.

I informed them that Shaykh Muammad is free from this belief and this path, and that he does not declare anyone to be a Kaafir except for those matters that the Muslims have unanimously agreed upon that makes one a Kaafir, such as major shirk, or rejecting the verses of Allah and His messengers, or any of that, after the proof has been shown to him and is properly conveyed. Such as making Takfeer on the one who worships the righteous, prays to them alongside Allah, and for making them His rivals in what He alone deserves in worship and authority over the creation.

This is agreed upon by the people of knowledge and faith. Every group among the followers of the various upheld Mazhabs has devoted a major chapter to this issue, mentioning its rulings, and that which causes apostasy and its implications, and explicitly mentioning Shirk. Ibn ajar even singled out this issue in a book he titled: al-Ilm bi-Qawi al-Islm (Informing about the Nullifiers of Islam).

These two Persians later showed repentance and remorse and claimed that the truth had become clear to them. Then they went to the coast and returned to that same doctrine. It reached us that they declared the leaders of the Muslims to be Kaafirs for communicating with the Egyptian rulers. Rather, they even declared as disbelievers those among the Muslim scholars who associated with those who communicated with them. We seek refuge in Allah from misguidance after being upon guidance and from relapse after rectitude.

We have also been informed about similar matters regarding you. And that you ....

Continued  """,2.972122e-05,0.0011658927,0.99880433
"""This Ummah is blessed &amp; bountiful.

- Shaykh al-Muhaddith Sulaymaan al-Alwaan",1.7239463e-05,0.9999771,5.638977e-06
"""Shaykh Saleh al-Fawzan recommending students read the book of Saleh al-Munajjid saying it is well needed and praising Allaah for making him an aider of the haqq
 """,2.9540019e-05,0.9999572,1.3202298e-05
"""What Shaykh Abu Mundhir ash Shanqiti said about those who allow US embassies, is equally true about those who allow Jewish embassies:

""As for the situation where America kills whichever Muslims it pleases, occupies whichever Muslim lands it pleases, violates honor, desecrates sanctities, and dishonors Islamic sacred things, and yet certain states in Muslim lands maintain relations, exchange ambassadors with it, and enable it to achieve its interests in Muslim lands as if it were any other peaceful, non-belligerent state, this amounts to allying with it in its war against Islam and assisting it in fighting Muslims.""""",0.99966145,1.9326535e-05,0.00031928206
"""Mr. Shekau wouldn't be happy with the house of Saud today unharaming western music in the country ;).",9.051714e-06,5.2291716e-06,0.9999857
"""Countries where insulting Jesus is a criminal offence:

Pakistan
Saudi Arabia
Iran
Egypt 
Syria
Iraq
Indonesia
Malaysia
Afghanistan
Somalia
Qatar
Kuwait
Yemen

Countries where insulting Jesus is legally permissible:

United States
United Kingdom
France
Canada
Ireland
Denmark
Netherlands
New Zealand
Sweden
Norway
Finland
Germany
Belgium
Australia
New Zealand""",2.025754e-05,4.0196837e-06,0.9999757
"""Jaysh Abu Bakr al Saddiq. They had a secret pledge to Dawla which was revealed in 2010. Dawla seemed to have had a policy of secret pledges in this period.""",1.0512142e-05,9.877711e-06,0.9999796
"""IRAN DROP NEW LEGO VIDEO MOCKING PETE HEGSETH",3.889594e-06,2.8007041e-06,0.9999933
"""There is no difference in deeming something unlawful as permissible, whether it is for a profession or for other reasons.

 Considering tabarruj and unveiling as permissible is major Kufr that expels one from Islam.

Considering kissing and embracing non-maram women as permissible is major kufr that expels one from Islam.

So woe to those who engage in tabarruj while deeming it permissible, and to those who treat kissing and embracing non-maram women as permissible in practice.

So repent to Allah before you meet Him with this hypocrisy and major Kufr.

Shaykh Saadiq Al Hashami""",0.9998728,2.8840304e-05,9.839047e-05
Youre a Wahhabi no bro Im a shah waliullah dehlawi,2.6074222e-05,0.999961,1.2924649e-05
"""that Shias are fighting for palestine""",5.2192504e-06,7.420697e-06,0.99998736
"""""The Mohamed Salah replacement has to be Michael Olise.""
""
--------------

It has to be.",5.600259e-05,4.8036833e-05,0.99989593
"""The Mohamed Salah replacement has to be Michael Olise.""",5.2018782e-05,8.907766e-05,0.999859
